pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         174891671 function calls (149845281 primitive calls) in 105.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001  105.014   52.507 main.py:1(<module>)
    224/1    0.002    0.000  105.012  105.012 {built-in method builtins.exec}
       18    0.898    0.050  103.615    5.756 main.py:24(run)
   293788   29.939    0.000   94.509    0.000 ball.py:35(step)
   293788    0.380    0.000   20.869    0.000 network.py:58(evaluate)
   293788    0.566    0.000   20.489    0.000 network.py:60(<listcomp>)
2644092/881364    2.622    0.000   19.923    0.000 network.py:11(evaluate)
2644092/881364    3.744    0.000   18.998    0.000 {built-in method builtins.sum}
28203648/7050912   10.589    0.000   17.940    0.000 network.py:12(<genexpr>)
  8216708    7.044    0.000   11.176    0.000 pos_vec.py:52(from_angle)
  7629971   10.354    0.000   10.644    0.000 intersect.py:4(intersect)
  7630057    5.622    0.000    8.060    0.000 pos_vec.py:16(__add__)
  8247083    3.012    0.000    4.890    0.000 pos_vec.py:48(angle)
     5157    3.269    0.001    3.269    0.001 {method 'fill' of 'pygame.Surface' objects}
  1391645    1.017    0.000    3.153    0.000 pos_vec.py:24(distance)
     5156    2.754    0.001    2.754    0.001 {built-in method pygame.display.flip}
 10228190    2.375    0.000    2.375    0.000 pos_vec.py:36(__init__)
 17627280    2.314    0.000    2.314    0.000 network.py:38(evaluate)
 10822975    2.288    0.000    2.288    0.000 pos_vec.py:5(__init__)
   292863    0.717    0.000    1.925    0.000 ball.py:18(move)
  8247083    1.878    0.000    1.878    0.000 {built-in method math.atan2}
  7630057    1.265    0.000    1.265    0.000 {built-in method math.radians}
  1422106    0.900    0.000    1.198    0.000 pos_vec.py:21(__sub__)
  1684508    0.717    0.000    1.194    0.000 pos_vec.py:40(magnitude)
  8216708    1.165    0.000    1.165    0.000 {built-in method math.cos}
      850    0.010    0.000    1.103    0.001 network.py:62(mutated)
  8216708    1.058    0.000    1.058    0.000 {built-in method math.sin}
336600/850    0.379    0.000    1.057    0.001 copy.py:132(deepcopy)
11050/850    0.051    0.000    1.054    0.001 copy.py:210(_deepcopy_list)
24252/16602    0.075    0.000    0.939    0.000 copy.py:268(_reconstruct)
  7986087    0.903    0.000    0.904    0.000 {built-in method builtins.isinstance}
   293788    0.549    0.000    0.902    0.000 track.py:16(hit)
     5156    0.036    0.000    0.872    0.000 track.py:23(draw)
9441924/9440862    0.855    0.000    0.855    0.000 {built-in method builtins.len}
    20624    0.830    0.000    0.830    0.000 {built-in method pygame.draw.lines}
23800/16150    0.037    0.000    0.795    0.000 copy.py:236(_deepcopy_dict)
   293788    0.390    0.000    0.675    0.000 ball.py:22(draw)
    73950    0.165    0.000    0.501    0.000 copy.py:219(_deepcopy_tuple)
  1684508    0.477    0.000    0.477    0.000 {built-in method math.hypot}
       86    0.457    0.005    0.457    0.005 {method 'tick' of 'Clock' objects}
   293788    0.330    0.000    0.440    0.000 pos_vec.py:56(__add__)
  2644092    0.436    0.000    0.436    0.000 network.py:27(evaluate)
   293788    0.353    0.000    0.353    0.000 {method 'get_at' of 'pygame.Surface' objects}
    73950    0.046    0.000    0.329    0.000 copy.py:220(<listcomp>)
   586874    0.320    0.000    0.320    0.000 {built-in method builtins.max}
  3225839    0.302    0.000    0.302    0.000 {method 'append' of 'list' objects}
   293788    0.285    0.000    0.285    0.000 {built-in method pygame.draw.circle}
    278/4    0.002    0.000    0.237    0.059 <frozen importlib._bootstrap>:978(_find_and_load)
    278/4    0.001    0.000    0.237    0.059 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    266/4    0.001    0.000    0.237    0.059 <frozen importlib._bootstrap>:663(_load_unlocked)
    199/4    0.001    0.000    0.237    0.059 <frozen importlib._bootstrap_external>:722(exec_module)
    384/4    0.000    0.000    0.236    0.059 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  2644092    0.218    0.000    0.218    0.000 network.py:5(<lambda>)
   292863    0.167    0.000    0.167    0.000 pos_vec.py:9(move)
   340/29    0.001    0.000    0.147    0.005 {built-in method builtins.__import__}
        1    0.000    0.000    0.139    0.139 ball.py:1(<module>)
        1    0.000    0.000    0.137    0.137 __init__.py:25(<module>)
        1    0.034    0.034    0.129    0.129 {built-in method pygame.display.set_mode}
   295963    0.119    0.000    0.119    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.114    0.114 surfarray.py:61(<module>)
        1    0.000    0.000    0.114    0.114 _numpysurfarray.py:45(<module>)
        1    0.000    0.000    0.113    0.113 __init__.py:106(<module>)
  977/220    0.001    0.000    0.099    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.095    0.095 pkgdata.py:18(<module>)
        1    0.000    0.000    0.093    0.093 __init__.py:16(<module>)
